Abbreviation	Selected Map	Total_EV	Shift	Shift tooltip	I_Nominee tooltip	blank	D-Check	D_Nominee_prop	Color Bins	Independent spacing	Direction	Spacer	R-Check	D_%	D_Difference%	D_Difference	D_EV	D_EV_Total	D_Nominee	R_Nominee_prop	D_Popular%	D_Votes	D_Votes_Total	Hex_Column	Hex_Row	I_%	I_EV	I_EV_Total	I_Nominee tooltip ●	I_Nominee tooltip ')'	I_Nominee tooltip '%)'	I_Nominee tooltip '('	I_Nominee	I_Popular%	I_Votes	I_Votes_Total	Independent spacing (popular)	Info	Last_RD_Difference	Last_Winner	Last_Winner_%	Number of Records	RD_Difference (bin)	RD_Difference	R_%	R_Difference%	R_Difference	R_EV	R_EV_Total	R_Nominee	I_Nominee_prop	R_Popular%	R_Votes	R_Votes_Total	Region	Row	Shift (l/r)	Shift abbreviation	Space	State (red)	State (blue)	State (yellow)	State	State_Winner	Total Votes	Total_Votes_USA	Winner_%	Winning Party	Year
GA	Hex	14	14	% shift to the left	"Robert M. La Follette:	"			John W. Davis	E	  	Left	0	✔	74.0	3	17150	14	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	123262	8386532	8	7	7.6		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	12687	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-42.3	D	-71	1	-60	-55.8	18.2	-10.5	-12681		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	30300	15724310	South	6	-13.5	0.5	8		Georgia		Georgia	D	166635	29099380	-74	R	1924
LA	Hex	10	18	% shift to the left				John W. Davis	E	  	Left	0	✔	76.4	7.2	5699	10	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	93218	8386532	5.5	6	0.0		13					ROBERT M. LA FOLLETTE	16.6%		4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-38.7	D	-69.2	1	-60	-56.2	20.2	-10.3	-13869		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	24670	15724310	South	6	-17.5	0.5	5		Louisiana		Louisiana	D	121951	29099380	-76.4	R	1924
MS	Hex	10	12	% shift to the left	"Robert M. La Follette:	"			John W. Davis	E	  	Left	0	✔	89.4	5.400000000	31338	10	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	100474	8386532	6.5	6	3.1		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	3474	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-69.9	D	-84	1	-85	-81.8	7.6	-6.5	-3082		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	8494	15724310	South	6	-11.9	0.5	6		Mississippi		Mississippi	D	112442	29099380	-89.4	R	1924
NC	Hex	12	6	% shift to the left	"Robert M. La Follette:	"			John W. Davis	B	  	Left	0	✔	59.0	2.3	-21177	12	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	284190	8386532	9	5	1.4		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	6651	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-13.5	D	-56.7	1	-20	-19.4	39.6	-3.6	-42065		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	190754	15724310	South	5	-5.9	0.5	7		North Carolina		North Carolina	D	481608	29099380	-59	R	1924
SC	Hex	9	2	% shift to the left	"Robert M. La Follette:	"			John W. Davis	E	  	Left	0	✔	96.6	0.5	-15162	9	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	49008	8386532	8.5	6	1.2		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	623	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-92.2	D	-96.1	1	-95	-94.4	2.2	-1.7	-1487		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	1123	15724310	South	5	-2.2	0.5	8		South Carolina		South Carolina	D	50755	29099380	-96.6	R	1924
TX	Hex	20	18	% shift to the left	"Robert M. La Follette:	"			John W. Davis	E	  	Left	0	✔	73.6	14.4	195461	20	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	483381	8386532	4	7	6.5		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	42879	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-35.6	D	-59.2	1	-55	-53.7	19.9	-3.7	16136		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	130794	15724310	South	7	-18.1	0.5	4		Texas		Texas	D	657054	29099380	-73.6	R	1924
VA	Hex	12	6	% shift to the left	"Robert M. La Follette:	"			John W. Davis	C	  	Left	0	✔	62.5	1.2	-1953	12	136	JOHN W. DAVIS	Calvin Coolidge	28.8%	139717	8386532	8	5	4.6		13	● 	)	%)	 (	ROBERT M. LA FOLLETTE	16.6%	10369	4827184	            	The United States presidential election of 1924 was won by incumbent President Calvin Coolidge, the Republican candidate. Coolidge became president in 1923 following the death of then-incumbent president, Warren G. Harding. Coolidge was given credit for a booming economy at home and no visible crises abroad. The regular Democratic candidate was John W. Davis, a little-known former congressman from West Virginia. Since Davis was a conservative, many liberal Democrats bolted the party and backed the third-party campaign of Wisconsin Senator Robert M. LaFollette, who ran as the candidate of the Progressive Party. This was the first presidential election in which all American Indians were citizens and thus allowed to vote. Coolidge's 25.2-point victory margin in the popular vote is one of the largest ever.	-23.4	D	-61.3	1	-30	-29.7	32.8	-5.1	-14128		382	CALVIN COOLIDGE	Robert M. La Follette	54.0%	73328	15724310	South	4	-6.3	0.5	8		Virginia		Virginia	D	223603	29099380	-62.5	R	1924
CA	Hex	55	2	% shift to the right				John Kerry	A		Right	0	✔	54.3	0.900000000	884282	55	251	JOHN KERRY	George W. Bush	48.3%	6745485	59028444	2	5													As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.	-11.7	D	-53.4	1	-10	-9.9	44.4	2.7	942397		286	GEORGE W. BUSH	 	50.7%	5509826	62040610	West	4	1.8	-0.5	1		California		California	D	12421852	122295345	-54.3	R	2004
HI	Hex	4	10	% shift to the right				John Kerry	A		Right	0	✔	54.0	-1.8	26422	4	251	JOHN KERRY	George W. Bush	48.3%	231708	59028444	-0.5	5													As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.	-18.3	D	-55.8	1	-10	-8.7	45.3	7.8	56346		286	GEORGE W. BUSH	 	50.7%	194191	62040610	West	7	9.6	-0.5	1		Hawaii		Hawaii	D	429013	122295345	-54	R	2004
OR	Hex	7	4	% shift to the left				John Kerry	A		Left	0	✔	51.3	4.3	222821	7	251	JOHN KERRY	George W. Bush	48.3%	943163	59028444	1.5	4													As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.	-0.5	D	-47	1	-5	-4.100000000	47.2	0.700000000	153254		286	GEORGE W. BUSH	 	50.7%	866831	62040610	West	3	-3.6	0.5	1		Oregon		Oregon	D	1836782	122295345	-51.3	R	2004
WA	Hex	11	2	% shift to the left				John Kerry	A		Left	0	✔	52.8	2.600000000	262549	11	251	JOHN KERRY	George W. Bush	48.3%	1510201	59028444	1.5	2													As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.	-5.6	D	-50.2	1	-10	-7.2	45.6	1	196030		286	GEORGE W. BUSH	 	50.7%	1304894	62040610	West	2	-1.6	0.5	1		Washington		Washington	D	2859084	122295345	-52.8	R	2004
HI	Hex	4	37	% shift to the right	"George Wallace:	"			Hubert Humphrey	C	      	Right	0	✔	59.8	-19	-21925	4	191	HUBERT HUMPHREY	Richard Nixon	42.7%	141324	31275166	-0.5	5	1.5		46	● 	)	%)	 (	GEORGE WALLACE	13.5%	3469	9906473	        	"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since."	-57.6	D	-78.8	1	-25	-21.1	38.7	17.5	47403		301	RICHARD NIXON	George Wallace	43.4%	91425	31785480	West	7	36.5	-0.5	1		Hawaii		Hawaii	D	236218	73211875	-59.8	R	1968
WA	Hex	9	23	% shift to the right	"George Wallace:	"			Hubert Humphrey	A	      	Right	0	✔	47.2	-14.8	-163844	9	191	HUBERT HUMPHREY	Richard Nixon	42.7%	616037	31275166	1.5	2	7.4		46	● 	)	%)	 (	GEORGE WALLACE	13.5%	96990	9906473	        	"The election of 1968 was a wrenching national experience, conducted against a backdrop that included the assassination of civil rights leader Martin Luther King, Jr. and subsequent race riots across the nation, the assassination of presidential candidate Robert F. Kennedy, widespread demonstrations against the Vietnam War across college campuses, and violent confrontations between police and anti-war protesters at the 1968 Democratic National Convention. Nixon ran on a campaign that promised to restore ""law and order"". The election also featured a strong third party effort by former Alabama Governor George Wallace. Because Wallace's campaign promoted segregation, he proved to be a formidable candidate in the South; no third-party candidate has won an entire state's electoral votes since."	-24.6	D	-62	1	-5	-2.1	45.1	7.7	118144		301	RICHARD NIXON	George Wallace	43.4%	588510	31785480	West	2	22.5	-0.5	1		Washington		Washington	D	1304281	73211875	-47.2	R	1968
HI	Hex	4	1	% shift to the right	"John Anderson:	"			Jimmy Carter	A		Right	0	✔	44.8	-5.8	-11496	4	49	JIMMY CARTER	Ronald Reagan	41.0%	135879	35483883	-0.5	5	10.6			● 	)	%)	 (	JOHN ANDERSON	6.6%	32021	5720060	 	"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution."""	-2.5	D	-50.6	1	-5	-1.9	42.9	-5.2	-9891		489	RONALD REAGAN	John Anderson	50.7%	130112	43904153	West	7	0.6	-0.5	1		Hawaii		Hawaii	D	303287	86513813	-44.8	R	1980
CA	Hex	54	1	% shift to the right	"Ralph Nader:	"			Al Gore	B		Right	0	✔	53.4	2.3	741368	54	266	AL GORE	George W. Bush	48.4%	5861203	50992335	2	5	3.8			● 	)	%)	 (	RALPH NADER	2.7%	418707	2882738	  	The election of 2000 was a contest between Republican candidate George W. Bush, then-governor of Texas and son of former president George H. W. Bush (1989–1993), and Democratic candidate Al Gore, then-Vice President. Bush narrowly won the November 7 election, with 271 electoral votes to Gore's 266 (with one elector abstaining in the official tally). The election was noteworthy for a controversy over the awarding of Florida's 25 electoral votes, the subsequent recount process in that state, and the unusual event of the winning candidate having received fewer popular votes than the runner-up. It was the closest election since 1876 and only the fourth election in which the electoral vote did not reflect the popular vote.	-12.9	D	-51.1	1	-15	-11.7	41.7	3.5	739049		271	GEORGE W. BUSH	Ralph Nader	47.9%	4567429	50455156	West	4	1.2	-0.5	1		California		California	D	10965856	105396627	-53.4	R	2000
HI	Hex	4	7	% shift to the right	"Ralph Nader:	"			Al Gore	B		Right	0	✔	55.8	-1.1	274	4	266	AL GORE	George W. Bush	48.4%	205286	50992335	-0.5	5	5.9			● 	)	%)	 (	RALPH NADER	2.7%	21623	2882738	  	The election of 2000 was a contest between Republican candidate George W. Bush, then-governor of Texas and son of former president George H. W. Bush (1989–1993), and Democratic candidate Al Gore, then-Vice President. Bush narrowly won the November 7 election, with 271 electoral votes to Gore's 266 (with one elector abstaining in the official tally). The election was noteworthy for a controversy over the awarding of Florida's 25 electoral votes, the subsequent recount process in that state, and the unusual event of the winning candidate having received fewer popular votes than the runner-up. It was the closest election since 1876 and only the fourth election in which the electoral vote did not reflect the popular vote.	-25.3	D	-56.9	1	-20	-18.3	37.5	5.9	23902		271	GEORGE W. BUSH	Ralph Nader	47.9%	137845	50455156	West	7	7.0	-0.5	1		Hawaii		Hawaii	D	367951	105396627	-55.8	R	2000
NM	Hex	5	7	% shift to the right	"Ralph Nader:	"			Al Gore	A		Right	0	✔	47.9	-1.3	13288	5	266	AL GORE	George W. Bush	48.4%	286783	50992335	3.5	6	3.6			● 	)	%)	 (	RALPH NADER	2.7%	21251	2882738	  	The election of 2000 was a contest between Republican candidate George W. Bush, then-governor of Texas and son of former president George H. W. Bush (1989–1993), and Democratic candidate Al Gore, then-Vice President. Bush narrowly won the November 7 election, with 271 electoral votes to Gore's 266 (with one elector abstaining in the official tally). The election was noteworthy for a controversy over the awarding of Florida's 25 electoral votes, the subsequent recount process in that state, and the unusual event of the winning candidate having received fewer popular votes than the runner-up. It was the closest election since 1876 and only the fourth election in which the electoral vote did not reflect the popular vote.	-7.3	D	-49.2	1	-5	-0.100000000	47.8	5.9	53666		271	GEORGE W. BUSH	Ralph Nader	47.9%	286417	50455156	West	5	7.2	-0.5	3		New Mexico		New Mexico	D	598605	105396627	-47.9	R	2000
OR	Hex	7	8	% shift to the right	"Ralph Nader:	"			Al Gore	A		Right	0	✔	47.0	-0.200000000	70701	7	266	AL GORE	George W. Bush	48.4%	720342	50992335	1.5	4	5.0			● 	)	%)	 (	RALPH NADER	2.7%	77357	2882738	  	The election of 2000 was a contest between Republican candidate George W. Bush, then-governor of Texas and son of former president George H. W. Bush (1989–1993), and Democratic candidate Al Gore, then-Vice President. Bush narrowly won the November 7 election, with 271 electoral votes to Gore's 266 (with one elector abstaining in the official tally). The election was noteworthy for a controversy over the awarding of Florida's 25 electoral votes, the subsequent recount process in that state, and the unusual event of the winning candidate having received fewer popular votes than the runner-up. It was the closest election since 1876 and only the fourth election in which the electoral vote did not reflect the popular vote.	-8.1	D	-47.2	1	-5	-0.5	46.5	7.4	175425		271	GEORGE W. BUSH	Ralph Nader	47.9%	713577	50455156	West	3	7.6	-0.5	1		Oregon		Oregon	D	1533968	105396627	-47	R	2000
WA	Hex	11	7	% shift to the right	"Ralph Nader:	"			Al Gore	A		Right	0	✔	50.2	0.400000000	124329	11	266	AL GORE	George W. Bush	48.4%	1247652	50992335	1.5	2	4.1			● 	)	%)	 (	RALPH NADER	2.7%	103002	2882738	  	The election of 2000 was a contest between Republican candidate George W. Bush, then-governor of Texas and son of former president George H. W. Bush (1989–1993), and Democratic candidate Al Gore, then-Vice President. Bush narrowly won the November 7 election, with 271 electoral votes to Gore's 266 (with one elector abstaining in the official tally). The election was noteworthy for a controversy over the awarding of Florida's 25 electoral votes, the subsequent recount process in that state, and the unusual event of the winning candidate having received fewer popular votes than the runner-up. It was the closest election since 1876 and only the fourth election in which the electoral vote did not reflect the popular vote.	-12.5	D	-49.8	1	-10	-5.6	44.6	7.3	268152		271	GEORGE W. BUSH	Ralph Nader	47.9%	1108864	50455156	West	2	6.9	-0.5	1		Washington		Washington	D	2487433	105396627	-50.2	R	2000
AL	Hex	11	30	% shift to the left				Adlai E. Stevenson	C		Left	0	✔	64.6	63.387329054	272468	11	89	ADLAI E. STEVENSON	Dwight D. Eisenhower	44.4%	275075	27314992	7.5	6													"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House."	0	I	0	1	-30	-29.6	35.0	16	108301		442	DWIGHT D. EISENHOWER	 	54.9%	149231	33777945	South	6	-29.6	0.5	7		Alabama		Alabama	D	426120	61550918	-64.6	R	1952
LA	Hex	10	6	% shift to the left				Adlai E. Stevenson	A		Left	0	✔	52.9	20.2	208683	10	89	ADLAI E. STEVENSON	Dwight D. Eisenhower	44.4%	345027	27314992	5.5	6													"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House."	0	I	0	1	-10	-5.8	47.1	29.6	234268		442	DWIGHT D. EISENHOWER	 	54.9%	306925	33777945	South	6	-5.8	0.5	5		Louisiana		Louisiana	D	651952	61550918	-52.9	R	1952
MS	Hex	8	21	% shift to the left				Adlai E. Stevenson	C		Left	0	✔	60.4	50.3	153182	8	89	ADLAI E. STEVENSON	Dwight D. Eisenhower	44.4%	172566	27314992	6.5	6													"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House."	0	I	0	1	-25	-20.8	39.6	37	107923		442	DWIGHT D. EISENHOWER	 	54.9%	112966	33777945	South	6	-20.8	0.5	6		Mississippi		Mississippi	D	285532	61550918	-60.4	R	1952
SC	Hex	8	48	% shift to the left				Adlai E. Stevenson	E		Left	0	✔	50.7	26.6	138581	8	89	ADLAI E. STEVENSON	Dwight D. Eisenhower	44.4%	173004	27314992	8.5	6													"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House."	0	I	0	1	-50	-47.8	2.9	-0.9	4407		442	DWIGHT D. EISENHOWER	 	54.9%	9793	33777945	South	5	-47.8	0.5	8		South Carolina		South Carolina	D	341087	61550918	-50.7	R	1952
MO	Hex	13	2	% shift to the left				Adlai E. Stevenson	A		Left	0	✔	50.1	1	-11557	13	73	ADLAI E. STEVENSON	Dwight D. Eisenhower	42.0%	918273	26022752	5.5	4													The election of 1956 saw a popular Dwight D. Eisenhower successfully run for re-election. The 1956 election was a rematch of 1952, as Eisenhower's opponent in 1956 was Democrat Adlai Stevenson, whom Eisenhower had defeated four years earlier. Incumbent President Eisenhower was popular, but had health conditions that became a quiet issue. Stevenson remained popular with a core of liberal Democrats but held no office and had no real base. He (and Eisenhower) largely ignored the civil rights issue. Eisenhower had ended the Korean War and the nation was prosperous, so a landslide for the charismatic Eisenhower was never in doubt. This was the last presidential election prior to the statehood of Alaska and Hawaii, who would first take part as states in the 1960 presidential election.	1.6	R	50.7	1	-5	-0.200000000	49.9	-0.800000000	-45140		457	DWIGHT D. EISENHOWER	 	57.4%	914289	35590472	Midwest	4	-1.8	0.5	5		Missouri		Missouri	D	1832562	62026908	-50.1	R	1956
IA	Hex	8	18	% shift to the left				Michael S. Dukakis	B		Left	0	✔	54.7	8.8	64937	8	111	MICHAEL S. DUKAKIS	George Bush	45.6%	670557	41809074	5	3													The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.	7.4	R	53.3	1	-15	-10.2	44.5	-8.8	-157733		426	GEORGE BUSH	 	53.4%	545355	48886097	Midwest	3	-17.6	0.5	5		Iowa		Iowa	D	1225614	91594809	-54.7	R	1988
WI	Hex	11	13	% shift to the left				Michael S. Dukakis	A		Left	0	✔	51.4	6.4	131054	11	111	MICHAEL S. DUKAKIS	George Bush	45.6%	1126794	41809074	5.5	2													The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.	9.2	R	54.2	1	-5	-3.6	47.8	-6.400000000	-151085		426	GEORGE BUSH	 	53.4%	1047499	48886097	Midwest	2	-12.8	0.5	7		Wisconsin		Wisconsin	D	2191608	91594809	-51.4	R	1988
MA	Hex	13	11	% shift to the left				Michael S. Dukakis	A		Left	0	✔	53.2	4.8	161809	13	111	MICHAEL S. DUKAKIS	George Bush	45.6%	1401415	41809074	10.5	2													The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.	2.8	R	51.2	1	-10	-7.8	45.4	-5.8	-116301		426	GEORGE BUSH	 	53.4%	1194635	48886097	Northeast	2	-10.6	0.5	11		Massachusetts		Massachusetts	D	2632805	91594809	-53.2	R	1988
